latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-59,-26.572,345.9,0.4,0.6,2016-07-12,0045,N,nominal,1.0NRT,242.2,0,N
-59.002,-26.565,367,0.4,0.6,2016-07-12,0045,N,nominal,1.0NRT,255.8,0,N
-59.005,-26.559,335.4,0.4,0.6,2016-07-12,0045,N,nominal,1.0NRT,244.5,0,N
-59.007,-26.572,367,0.4,0.6,2016-07-12,0045,N,nominal,1.0NRT,237.9,0,N
-59.009,-26.566,337.6,0.4,0.6,2016-07-12,0045,N,nominal,1.0NRT,237.3,0,N
-21.233,-175.148,326.7,0.4,0.4,2016-07-12,0115,N,nominal,1.0NRT,295.7,0,D
-19.731,-175.071,333.8,0.4,0.4,2016-07-12,0115,N,nominal,1.0NRT,299,0,D
-17.598,177.662,347.2,0.5,0.5,2016-07-12,0115,N,nominal,1.0NRT,298,0,D
-17.003,178.761,329.2,0.5,0.5,2016-07-12,0115,N,nominal,1.0NRT,295.9,0,D
-16.972,178.766,328.5,0.5,0.5,2016-07-12,0115,N,nominal,1.0NRT,293.1,0,D
-16.643,178.538,329.5,0.5,0.5,2016-07-12,0115,N,nominal,1.0NRT,300.8,0,D
-16.403,179.385,337,0.4,0.5,2016-07-12,0115,N,nominal,1.0NRT,296.2,0,D
54.207,24.826,295.8,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,262.4,0,N
49.643,45.384,305.2,0.5,0.7,2016-07-12,0015,N,nominal,1.0NRT,273.5,0,N
50.095,43.236,302.7,0.4,0.6,2016-07-12,0015,N,nominal,1.0NRT,278.2,0,N
51.259,37.763,337.9,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,292.3,0,N
51.141,37.931,341.9,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,285.3,0,N
50.849,38.942,324.8,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,286.3,0,N
53.264,24.451,296.7,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,270.8,0,N
53.261,24.45,298.8,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,271.5,0,N
52.241,29.841,303.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,280.1,0,N
53.525,9.899,324.3,0.6,0.7,2016-07-12,0015,N,nominal,1.0NRT,283.6,0,N
50.614,36.601,303.6,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,286.4,0,N
50.611,36.557,323.1,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,288.3,0,N
51.89,29.337,302.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,287,0,N
49.633,39.31,299.8,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,284.4,0,N
46.778,48.129,316.7,0.8,0.8,2016-07-12,0015,N,nominal,1.0NRT,275.4,0,N
46.771,48.124,295.7,0.8,0.8,2016-07-12,0015,N,nominal,1.0NRT,277.8,0,N
53.139,8.673,307,0.6,0.7,2016-07-12,0015,N,nominal,1.0NRT,284.4,0,N
53.132,8.674,316.5,0.6,0.7,2016-07-12,0015,N,nominal,1.0NRT,283.5,0,N
53.133,8.684,299.5,0.6,0.7,2016-07-12,0015,N,nominal,1.0NRT,283.7,0,N
53.137,8.678,311.8,0.6,0.7,2016-07-12,0015,N,nominal,1.0NRT,284.1,0,N
53.131,8.678,316.9,0.6,0.7,2016-07-12,0015,N,nominal,1.0NRT,283.8,0,N
50.014,34.077,296.6,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,286.5,0,N
48.466,38.761,307.4,0.6,0.5,2016-07-12,0015,N,nominal,1.0NRT,289.4,0,N
48.462,38.775,300.1,0.6,0.5,2016-07-12,0015,N,nominal,1.0NRT,286.8,0,N
48.493,38.113,309.8,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,284.7,0,N
48.489,38.11,310.5,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,285.7,0,N
48.494,38.113,305.9,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,284.3,0,N
48.489,38.111,313.1,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,285.3,0,N
48.287,38.085,303.1,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,288,0,N
48.222,38.236,305.9,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,288.4,0,N
48.223,38.238,300.9,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.7,0,N
48.221,38.245,297.5,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,287,0,N
48.22,38.229,299.2,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,288.3,0,N
50.74,24.741,297.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,280.1,0,N
51.521,6.96,302,0.7,0.8,2016-07-12,0015,N,nominal,1.0NRT,283.4,0,N
51.52,6.969,302.6,0.7,0.8,2016-07-12,0015,N,nominal,1.0NRT,283.9,0,N
51.505,6.721,299.5,0.7,0.8,2016-07-12,0015,N,nominal,1.0NRT,283.9,0,N
51.498,6.722,304.4,0.7,0.8,2016-07-12,0015,N,nominal,1.0NRT,283.1,0,N
48.451,36.68,296.8,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,275.7,0,N
51.49,6.711,305.4,0.8,0.8,2016-07-12,0015,N,nominal,1.0NRT,282.6,0,N
51.491,6.734,302.1,0.7,0.8,2016-07-12,0015,N,nominal,1.0NRT,283.2,0,N
51.483,6.712,330.6,0.8,0.8,2016-07-12,0015,N,nominal,1.0NRT,282.6,0,N
51.484,6.723,329.4,0.7,0.8,2016-07-12,0015,N,nominal,1.0NRT,283.3,0,N
51.483,6.7,305.1,0.8,0.8,2016-07-12,0015,N,nominal,1.0NRT,281.9,0,N
48.174,37.7,308.6,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,288.4,0,N
51.462,6.736,305.8,0.7,0.8,2016-07-12,0015,N,nominal,1.0NRT,281.3,0,N
48.17,37.697,302.6,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,286.9,0,N
48.168,37.704,310,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,290.2,0,N
48.058,37.953,320.4,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.7,0,N
48.059,37.953,328.3,0.5,0.5,2016-07-12,0015,N,nominal,1.0NRT,288.7,0,N
51.461,6.737,307.2,0.7,0.8,2016-07-12,0015,N,nominal,1.0NRT,282.1,0,N
50.93,21.674,308.9,0.5,0.4,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
47.833,38.48,297.7,0.6,0.5,2016-07-12,0015,N,nominal,1.0NRT,287.7,0,N
51.181,16.11,302.2,0.6,0.5,2016-07-12,0015,N,nominal,1.0NRT,281.9,0,N
48.49,34.977,329.8,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,291.9,0,N
48.487,34.975,299.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.2,0,N
48.48,34.983,303.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.4,0,N
48.479,34.988,299.3,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,289.1,0,N
48.471,34.967,310.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.9,0,N
48.47,34.972,300,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
48.532,34.647,324.8,0.6,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.4,0,N
48.534,34.649,327,0.6,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.5,0,N
48.524,34.619,306.4,0.6,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.2,0,N
48.52,34.634,308.2,0.6,0.4,2016-07-12,0015,N,nominal,1.0NRT,287.5,0,N
48.474,34.633,303.5,0.6,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.2,0,N
50.348,19.295,305.1,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,284.4,0,N
50.34,19.293,324.3,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,283.3,0,N
47.878,35.189,299.7,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,289,0,N
50.337,19.28,299.6,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,281.1,0,N
50.336,19.286,306.9,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,282.5,0,N
50.336,19.292,315.5,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,282,0,N
47.871,35.162,321.1,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,292.5,0,N
47.868,35.154,306.1,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,290.5,0,N
47.865,35.147,302.6,0.4,0.5,2016-07-12,0015,N,nominal,1.0NRT,291.8,0,N
